height_cm,shoe_size,gender,degree,cats_or_dogs,hair_color,eye_color,rock_paper_scissors,modelling_uncertainty_or_data,rent_eur,room_size_m2
168.0,39.0,Female,Civil Engineering ,Cats,Blond,Blue,Paper,*Incoherent Screaming*,656.0,29.0
177.0,43.0,Male,"Earth, Climate, and Technology",Dogs,Brown,Green,Rock,*Incoherent Screaming*,550.0,10.0
175.0,39.0,Female,"Earth, Climate, and Technology",Both?,Brown,Brown,Scissors,*Incoherent Screaming*,470.0,20.0
189.0,44.0,Male,Civil Engineering ,Dogs,Blond,Grey,Scissors,Modelling,415.0,17.0
183.0,43.0,Male,Civil Engineering ,Dogs,Black,Brown,Rock,Modelling,67.0,10.0
191.0,46.0,Male,Environmental Engineering,Cats,Blond,Blue,Rock,Uncertainty,900.0,13.46
170.0,43.0,Male,Civil Engineering ,Cats,Black,Brown,Scissors,Data,900.0,55.0
170.0,43.0,Male,Civil Engineering ,Cats,Black,Grey,Rock,Modelling,600.0,12.0
181.0,43.0,Male,Civil Engineering ,Cats,Red,Blue,Paper,Data,600.0,30.0
179.0,45.0,Male,Environmental Engineering,Cats,Black,Brown,Rock,*Incoherent Screaming*,667.0,30.0
189.0,44.0,Male,Civil Engineering ,Dogs,Brown,Blue,Rock,Modelling,450.0,9.0
177.0,43.0,Male,Civil Engineering ,Cats,Blond,Hazel,Paper,Data,,20.0
200.0,45.0,Male,Civil Engineering ,Dogs,Blond,Green,Rock,Data,400.0,13.0
183.0,42.0,Male,Civil Engineering ,Neither! >:(,Brown,Brown,Rock,Data,500.0,8.0
165.0,37.0,Female,Civil Engineering ,Cats,Black,Brown,Rock,*Incoherent Screaming*,,
180.0,43.0,Male,Civil Engineering ,Dogs,Blond,Blue,Rock,*Incoherent Screaming*,1100.0,30.0
184.0,44.0,Male,Civil Engineering ,Both?,Brown,Brown,Scissors,*Incoherent Screaming*,980.0,28.0
157.0,24.5,Female,Environmental Engineering,Both?,Black,Brown,Scissors,*Incoherent Screaming*,1350.0,38.0
167.0,38.0,Female,Civil Engineering ,Both?,Brown,Green,Scissors,*Incoherent Screaming*,800.0,100.0
